time_years,nuclei_count,fraction_remaining,activity,ln_atoms
0.0,10000,1.0,1260.0,9.210340371976184
0.1,9874,0.9874,1230.0,9.197660318818809
0.2,9754,0.9754,1170.0000000000073,9.185432736269998
0.3,9640,0.964,1230.0,9.17367638760459
0.4,9508,0.9508,1300.0,9.159888828480085
0.5,9380,0.938,1255.0,9.14633504200027
0.6000000000000001,9257,0.9257,1255.0000000000073,9.133135301067211
0.7000000000000001,9129,0.9129,1240.0,9.119211438565081
0.8,9009,0.9009,1185.0,9.10597935665144
0.9,8892,0.8892,1190.0,9.092907275084087
1.0,8771,0.8771,1239.9999999999927,9.079206103951382
1.1,8644,0.8644,1190.0,9.064620717626777
1.2000000000000002,8533,0.8533,1059.9999999999927,9.051696278536586
1.3,8432,0.8432,1085.0,9.039789270781144
1.4,8316,0.8316,1105.0000000000073,9.025936648977904
1.5,8211,0.8211,1035.0,9.01322999770879
1.6,8109,0.8109,1050.0,9.000729834944558
1.7000000000000002,8001,0.8001,1059.9999999999927,8.987321812850125
1.8,7897,0.7897,985.0,8.97423821949758
1.9,7804,0.7804,950.0,8.962391701743002
2.0,7707,0.7707,985.0,8.949884285777994
2.1,7607,0.7607,1085.0,8.936824154997302
2.2,7490,0.749,1189.9999999999927,8.921324076511265
2.3000000000000003,7369,0.7369,1064.9999999999927,8.905037290767
2.4000000000000004,7277,0.7277,870.0000000000073,8.892473968347087
2.5,7195,0.7195,899.9999999999927,8.881141619321468
2.6,7097,0.7097,940.0,8.867427438524983
2.7,7007,0.7007,945.0,8.854664928370534
2.8000000000000003,6908,0.6908,915.0,8.84043543926657
2.9000000000000004,6824,0.6824,850.0000000000146,8.828201089171515
3.0,6738,0.6738,835.0,8.815518423966498
3.1,6657,0.6657,830.0,8.803424211600703
3.2,6572,0.6572,855.0,8.790573479157159
3.3000000000000003,6486,0.6486,875.0,8.777401286867264
3.4000000000000004,6397,0.6397,870.0000000000073,8.763584409450138
3.5,6312,0.6312,944.9999999999964,8.750207862525711
3.6,6208,0.6208,979.9999999999964,8.733594061863055
3.7,6116,0.6116,850.0000000000073,8.718663567048953
3.8,6038,0.6038,784.9999999999964,8.705828110266784
3.9,5959,0.5959,740.0,8.69265796074698
4.0,5890,0.589,674.9999999999964,8.681011276645632
4.1000000000000005,5824,0.5824,690.0,8.669742589876522
