time_years,nuclei_count
0.0,50000
0.1,49367
0.2,48712
0.30000000000000004,48101
0.4,47469
0.5,46876
0.6000000000000001,46212
0.7000000000000001,45588
0.8,44987
0.9,44363
1.0,43831
1.1,43240
1.2000000000000002,42670
1.3,42163
1.4000000000000001,41610
1.5,41080
1.6,40537
1.7000000000000002,40007
1.8,39480
1.9000000000000001,38938
2.0,38403
2.1,37899
2.2,37416
2.3000000000000003,36933
2.4000000000000004,36463
2.5,35996
2.6,35511
2.7,35096
2.8000000000000003,34640
2.9000000000000004,34182
3.0,33735
3.1,33276
3.2,32856
3.3000000000000003,32418
3.4000000000000004,31971
3.5,31551
3.6,31133
3.7,30721
3.8000000000000003,30333
3.9000000000000004,29932
4.0,29511
4.1000000000000005,29116
4.2,28732
4.3,28350
4.4,27978
4.5,27610
4.6000000000000005,27244
4.7,26885
4.800000000000001,26542
4.9,26213
5.0,25873
5.1000000000000005,25560
5.2,25230
5.300000000000001,24907
5.4,24585
5.5,24265
5.6000000000000005,23985
5.7,23677
5.800000000000001,23381
5.9,23115
6.0,22803
6.1000000000000005,22494
6.2,22190
6.300000000000001,21913
6.4,21620
6.5,21293
6.6000000000000005,21037
6.7,20761
6.800000000000001,20493
6.9,20238
7.0,19979
7.1000000000000005,19718
7.2,19455
7.300000000000001,19236
7.4,19001
7.5,18762
7.6000000000000005,18526
7.7,18268
7.800000000000001,18026
7.9,17789
8.0,17556
8.1,17329
8.200000000000001,17109
8.3,16865
8.4,16636
8.5,16430
8.6,16205
8.700000000000001,16009
8.8,15796
8.9,15590
9.0,15396
9.1,15186
9.200000000000001,14977
9.3,14782
9.4,14599
9.5,14418
9.600000000000001,14240
9.700000000000001,14047
9.8,13870
9.9,13649
10.0,13484
10.100000000000001,13306
10.200000000000001,13141
10.3,12961
10.4,12798
10.5,12612
10.600000000000001,12452
10.700000000000001,12295
10.8,12133
10.9,11968
11.0,11795
11.100000000000001,11634
11.200000000000001,11494
11.3,11337
11.4,11177
11.5,11049
11.600000000000001,10909
11.700000000000001,10783
11.8,10650
11.9,10529
12.0,10371
12.100000000000001,10242
12.200000000000001,10104
12.3,9975
12.4,9841
12.5,9725
12.600000000000001,9608
12.700000000000001,9468
12.8,9354
12.9,9234
13.0,9125
13.100000000000001,9002
13.200000000000001,8891
13.3,8773
13.4,8660
13.5,8549
13.600000000000001,8451
13.700000000000001,8339
13.8,8242
13.9,8150
14.0,8043
14.100000000000001,7949
14.200000000000001,7852
14.3,7736
14.4,7650
14.5,7566
14.600000000000001,7483
14.700000000000001,7390
14.8,7307
14.9,7199
15.0,7101
15.100000000000001,7015
15.200000000000001,6926
15.3,6824
15.4,6737
15.5,6636
15.600000000000001,6547
15.700000000000001,6454
15.8,6365
15.9,6281
16.0,6202
16.1,6117
16.2,6040
16.3,5953
16.400000000000002,5873
16.5,5793
16.6,5707
16.7,5639
16.8,5562
16.900000000000002,5479
17.0,5405
17.1,5330
17.2,5256
17.3,5177
17.400000000000002,5124
17.5,5068
17.6,5004
17.7,4936
17.8,4869
17.900000000000002,4819
18.0,4770
