time_years,nuclei_count
0.0,10000
0.1,9874
0.2,9754
0.30000000000000004,9640
0.4,9508
0.5,9380
0.6000000000000001,9257
0.7000000000000001,9129
0.8,9009
0.9,8892
1.0,8771
1.1,8644
1.2000000000000002,8533
1.3,8432
1.4000000000000001,8316
1.5,8211
1.6,8109
1.7000000000000002,8001
1.8,7897
1.9000000000000001,7804
2.0,7707
2.1,7607
2.2,7490
2.3000000000000003,7369
2.4000000000000004,7277
2.5,7195
2.6,7097
2.7,7007
2.8000000000000003,6908
2.9000000000000004,6824
3.0,6738
3.1,6657
3.2,6572
3.3000000000000003,6486
3.4000000000000004,6397
3.5,6312
3.6,6208
3.7,6116
3.8000000000000003,6038
3.9000000000000004,5959
4.0,5890
4.1000000000000005,5824
4.2,5752
4.3,5674
4.4,5582
4.5,5506
4.6000000000000005,5438
4.7,5378
4.800000000000001,5300
4.9,5234
5.0,5152
5.1000000000000005,5082
5.2,5016
5.300000000000001,4944
5.4,4870
5.5,4818
5.6000000000000005,4757
5.7,4693
5.800000000000001,4630
5.9,4561
6.0,4507
6.1000000000000005,4442
6.2,4389
6.300000000000001,4339
6.4,4278
6.5,4211
6.6000000000000005,4147
6.7,4078
6.800000000000001,4026
6.9,3969
7.0,3910
7.1000000000000005,3856
7.2,3788
7.300000000000001,3734
7.4,3685
7.5,3639
7.6000000000000005,3599
7.7,3556
7.800000000000001,3505
7.9,3463
8.0,3415
8.1,3365
8.200000000000001,3319
8.3,3275
8.4,3226
8.5,3183
8.6,3148
8.700000000000001,3108
8.8,3078
8.9,3023
9.0,2980
9.1,2937
9.200000000000001,2894
9.3,2855
9.4,2813
9.5,2780
9.600000000000001,2745
9.700000000000001,2712
9.8,2675
9.9,2643
10.0,2600
10.100000000000001,2562
10.200000000000001,2534
10.3,2501
10.4,2470
10.5,2431
10.600000000000001,2396
10.700000000000001,2371
10.8,2344
10.9,2314
11.0,2282
11.100000000000001,2260
11.200000000000001,2235
11.3,2207
11.4,2176
11.5,2143
11.600000000000001,2104
11.700000000000001,2075
11.8,2046
11.9,2019
12.0,1998
12.100000000000001,1979
12.200000000000001,1956
12.3,1930
12.4,1912
12.5,1893
12.600000000000001,1868
12.700000000000001,1839
12.8,1816
12.9,1790
13.0,1773
13.100000000000001,1752
13.200000000000001,1724
13.3,1709
13.4,1682
13.5,1665
13.600000000000001,1641
13.700000000000001,1613
13.8,1586
13.9,1563
14.0,1541
14.100000000000001,1522
14.200000000000001,1506
14.3,1480
14.4,1465
14.5,1446
14.600000000000001,1422
14.700000000000001,1399
14.8,1380
14.9,1361
15.0,1344
15.100000000000001,1329
15.200000000000001,1318
15.3,1306
15.4,1288
15.5,1269
15.600000000000001,1248
15.700000000000001,1228
15.8,1213
15.9,1195
16.0,1176
16.1,1160
16.2,1148
16.3,1132
16.400000000000002,1118
16.5,1108
16.6,1097
16.7,1076
16.8,1063
16.900000000000002,1042
17.0,1026
17.1,1015
17.2,1008
17.3,1002
17.400000000000002,979
17.5,960
17.6,939
17.7,924
17.8,912
17.900000000000002,898
18.0,887
18.1,873
18.2,863
18.3,857
18.400000000000002,846
18.5,840
18.6,831
18.7,813
18.8,799
18.900000000000002,793
19.0,784
19.1,771
19.200000000000003,762
19.3,754
19.400000000000002,742
19.5,731
19.6,715
19.700000000000003,711
19.8,703
19.900000000000002,696
20.0,685
20.1,674
20.200000000000003,663
20.3,652
20.400000000000002,638
20.5,632
20.6,624
20.700000000000003,617
20.8,614
20.900000000000002,607
21.0,602
21.1,592
21.200000000000003,587
21.3,585
21.400000000000002,578
21.5,573
21.6,567
21.700000000000003,554
21.8,550
21.900000000000002,545
22.0,540
22.1,530
22.200000000000003,527
22.3,517
22.400000000000002,509
22.5,505
22.6,500
22.700000000000003,494
22.8,489
22.900000000000002,487
23.0,480
23.1,476
23.200000000000003,470
23.3,462
23.400000000000002,455
23.5,454
23.6,448
23.700000000000003,442
23.8,439
23.900000000000002,435
24.0,430
24.1,429
24.200000000000003,421
24.3,413
24.400000000000002,410
24.5,403
24.6,399
24.700000000000003,390
24.8,383
24.900000000000002,376
25.0,373
25.1,368
25.200000000000003,365
25.3,363
25.400000000000002,357
25.5,352
25.6,348
25.700000000000003,340
25.8,337
25.900000000000002,331
26.0,326
26.1,323
26.200000000000003,319
26.3,313
26.400000000000002,306
26.5,301
26.6,298
26.700000000000003,293
26.8,293
26.900000000000002,290
27.0,284
27.1,282
27.200000000000003,280
27.3,272
27.400000000000002,269
27.5,265
27.6,265
27.700000000000003,260
27.8,255
27.900000000000002,253
28.0,249
28.1,247
28.200000000000003,241
28.3,238
28.400000000000002,228
28.5,225
28.6,221
28.700000000000003,218
28.8,213
28.900000000000002,210
29.0,208
29.1,204
29.200000000000003,204
29.3,201
29.400000000000002,200
29.5,198
29.6,198
29.700000000000003,193
29.8,190
29.900000000000002,186
30.0,184
30.1,184
30.200000000000003,181
30.3,177
30.400000000000002,175
30.5,170
30.6,164
30.700000000000003,163
30.8,162
30.900000000000002,158
31.0,158
31.1,158
31.200000000000003,155
31.3,153
31.400000000000002,151
31.5,149
31.6,147
31.700000000000003,146
31.8,146
31.900000000000002,145
32.0,143
32.1,141
32.2,137
32.300000000000004,134
32.4,133
32.5,132
32.6,132
32.7,129
32.800000000000004,128
32.9,125
33.0,125
33.1,122
33.2,122
33.300000000000004,119
33.4,118
33.5,116
33.6,116
33.7,116
33.800000000000004,114
33.9,111
34.0,108
34.1,106
34.2,105
34.300000000000004,104
34.4,103
34.5,103
34.6,101
34.7,99
34.800000000000004,99
34.9,98
35.0,96
35.1,95
35.2,95
35.300000000000004,93
35.4,93
35.5,90
35.6,89
35.7,88
35.800000000000004,87
35.9,86
36.0,86
36.1,85
36.2,84
36.300000000000004,82
36.4,81
36.5,81
36.6,79
36.7,78
36.800000000000004,73
36.9,73
37.0,72
37.1,72
37.2,72
37.300000000000004,71
37.4,69
37.5,68
37.6,66
37.7,66
37.800000000000004,65
37.9,62
38.0,61
38.1,61
38.2,60
38.300000000000004,59
38.400000000000006,57
38.5,56
38.6,56
38.7,56
38.800000000000004,55
38.900000000000006,53
39.0,53
39.1,53
39.2,52
39.300000000000004,51
39.400000000000006,50
39.5,49
39.6,49
39.7,49
39.800000000000004,48
39.900000000000006,46
