time_years,nuclei_count
0.0,50000
0.1,49342
0.2,48701
0.30000000000000004,48079
0.4,47509
0.5,46910
0.6000000000000001,46284
0.7000000000000001,45723
0.8,45115
0.9,44560
1.0,43991
1.1,43421
1.2000000000000002,42830
1.3,42245
1.4000000000000001,41710
1.5,41175
1.6,40644
1.7000000000000002,40129
1.8,39631
1.9000000000000001,39110
2.0,38635
2.1,38125
2.2,37616
2.3000000000000003,37162
2.4000000000000004,36677
2.5,36215
2.6,35755
2.7,35294
2.8000000000000003,34878
2.9000000000000004,34440
3.0,33979
3.1,33515
3.2,33094
3.3000000000000003,32641
3.4000000000000004,32209
3.5,31804
3.6,31402
3.7,30973
3.8000000000000003,30574
3.9000000000000004,30159
4.0,29792
4.1000000000000005,29415
4.2,29000
4.3,28628
4.4,28271
4.5,27890
4.6000000000000005,27524
4.7,27146
4.800000000000001,26793
4.9,26424
5.0,26077
5.1000000000000005,25754
5.2,25455
5.300000000000001,25102
5.4,24790
5.5,24460
5.6000000000000005,24162
5.7,23814
5.800000000000001,23493
5.9,23167
6.0,22847
6.1000000000000005,22520
6.2,22221
6.300000000000001,21942
6.4,21667
6.5,21381
6.6000000000000005,21096
6.7,20824
6.800000000000001,20550
6.9,20254
7.0,19999
7.1000000000000005,19756
7.2,19491
7.300000000000001,19245
7.4,18999
7.5,18775
7.6000000000000005,18511
7.7,18269
7.800000000000001,18043
7.9,17824
8.0,17603
8.1,17383
8.200000000000001,17131
8.3,16942
8.4,16685
8.5,16412
8.6,16195
8.700000000000001,15986
8.8,15774
8.9,15574
9.0,15366
9.1,15162
9.200000000000001,14965
9.3,14779
9.4,14580
9.5,14404
9.600000000000001,14197
9.700000000000001,13994
9.8,13796
9.9,13628
10.0,13455
10.100000000000001,13307
10.200000000000001,13127
10.3,12976
10.4,12812
10.5,12657
10.600000000000001,12473
10.700000000000001,12317
10.8,12160
10.9,12005
11.0,11842
11.100000000000001,11697
11.200000000000001,11534
11.3,11390
11.4,11234
11.5,11089
11.600000000000001,10932
11.700000000000001,10778
11.8,10653
11.9,10512
12.0,10359
12.100000000000001,10197
12.200000000000001,10073
12.3,9939
12.4,9816
12.5,9667
12.600000000000001,9533
12.700000000000001,9402
12.8,9265
12.9,9168
13.0,9061
13.100000000000001,8941
13.200000000000001,8816
13.3,8702
13.4,8579
13.5,8452
13.600000000000001,8335
13.700000000000001,8225
13.8,8114
13.9,8022
14.0,7916
14.100000000000001,7814
14.200000000000001,7709
14.3,7611
14.4,7515
14.5,7428
14.600000000000001,7335
